day	hour	value
1	1	140
1	2	155
1	3	110
1	4	90
1	5	125
1	6	80
1	7	140
1	8	133
1	9	103
1	10	79
2	1	122
2	2	109
2	3	60
2	4	65
2	5	87
2	6	145
2	7	100
2	8	90
2	9	120
2	10	150
3	1	113
3	2	143
3	3	80
3	4	76
3	5	60
3	6	90
3	7	130
3	8	158
3	9	123
3	10	140
4	1	80
4	2	40
4	3	70
4	4	100
4	5	77
4	6	99
4	7	103
4	8	114
4	9	147
4	10	158
5	1	145
5	2	100
5	3	90
5	4	80
5	5	145
5	6	120
5	7	110
5	8	90
5	9	88
5	10	78
6	1	110
6	2	100
6	3	66
6	4	45
6	5	130
6	6	113
6	7	156
6	8	123
6	9	109
6	10	90
7	1	109
7	2	100
7	3	134
7	4	78
7	5	78
7	6	89
7	7	80
7	8	143
7	9	154
7	10	134
8	1	130
8	2	123
8	3	132
8	4	100
8	5	98
8	6	80
8	7	78
8	8	67
8	9	107
8	10	112
9	1	123
9	2	109
9	3	156
9	4	145
9	5	110
9	6	134
9	7	154
9	8	134
9	9	123
9	10	90
10	1	60
10	2	76
10	3	89
10	4	98
10	5	107
10	6	132
10	7	112
10	8	153
10	9	109
10	10	145
