day	hour	value
1	1	120
1	2	135
1	3	90
1	4	70
1	5	65
1	6	100
1	7	110
1	8	139
1	9	129
1	10	99
2	1	102
2	2	159
2	3	89
2	4	105
2	5	130
2	6	110
2	7	134
2	8	60
2	9	110
2	10	130
3	1	103
3	2	123
3	3	90
3	4	94
3	5	80
3	6	100
3	7	114
3	8	135
3	9	100
3	10	103
4	1	100
4	2	60
4	3	89
4	4	110
4	5	145
4	6	123
4	7	143
4	8	154
4	9	140
4	10	89
5	1	105
5	2	120
5	3	80
5	4	108
5	5	134
5	6	145
5	7	80
5	8	100
5	9	89
5	10	109
6	1	90
6	2	110
6	3	104
6	4	85
6	5	110
6	6	133
6	7	106
6	8	113
6	9	149
6	10	109
7	1	98
7	2	104
7	3	114
7	4	88
7	5	109
7	6	99
7	7	123
7	8	104
7	9	114
7	10	145
8	1	103
8	2	123
8	3	132
8	4	100
8	5	87
8	6	103
8	7	104
8	8	93
8	9	137
8	10	102
9	1	123
9	2	109
9	3	156
9	4	145
9	5	80
9	6	134
9	7	94
9	8	134
9	9	73
9	10	110
10	1	78
10	2	96
10	3	113
10	4	98
10	5	107
10	6	122
10	7	112
10	8	133
10	9	109
10	10	125
